,Syndrome,Phenotype,Color,MainColorName,MainColor
1,Control,114_CTRL2,#45AD91,Cyan,#78E0C4
2,Control,WTC,#4CB498,Cyan,#78E0C4
3,Control,ARID1B_2_rescue,#53BB9F,Cyan,#78E0C4
4,Control,IPS23-123,#59C1A5,Cyan,#78E0C4
5,Control,29.3,#60C8AC,Cyan,#78E0C4
6,Control,409B2,#67CFB3,Cyan,#78E0C4
7,Control,C5,#6ED6BA,Cyan,#78E0C4
8,Control,CACNA1A_PAT2_rescue,#75DDC1,Cyan,#78E0C4
9,Control,Clone 8,#7BE3C7,Cyan,#78E0C4
10,Control,CTR_77,#82EACE,Cyan,#78E0C4
11,Control,DB7,#89F1D5,Cyan,#78E0C4
12,Control,EHMT1_WT,#90F8DC,Cyan,#78E0C4
13,Control,Mito_A57,#97FFE3,Cyan,#78E0C4
14,Control,Mito_C234,#9DFFE9,Cyan,#78E0C4
15,Control,CHD8_CTR,#A4FFF0,Cyan,#78E0C4
16,Control,WTC_mLam,#ABFFF7,Cyan,#78E0C4
17,NANS,122,#3B899E,Light Blue,#6EBCD1
18,NANS,123,#6EBCD1,Light Blue,#6EBCD1
19,NANS,124,#A1EFFF,Light Blue,#6EBCD1
20,CSS,ARID1B_2,#AFEEEE,Dark Blue,#808BD3
21,CSS,ARID1B_CRISPR_3,#BBFFFF,Dark Blue,#808BD3
22,CSS,ARID1B_CRISPR_1,#40E0D0,Dark Blue,#808BD3
23,CSS,ARID1B_CRISPR_2,#00868B,Dark Blue,#808BD3
24,CSS,SMARCB1_CSS-CRISPR,#104E8B,Dark Blue,#808BD3
25,CSS,SMARCB1_CSS,#1E90FF,Dark Blue,#808BD3
26,CSS,ARID1B_3,#00F5FF,Dark Blue,#808BD3
27,KSS,SMARCB1_KSS-CRISPR,#AA1E7B,Pink,#DD51AE
28,KSS,SMARCB1_KSS,#FF84E1,Pink,#DD51AE
29,ANK2_epilepsy,ANK2,#A46E64,Red,#D7A197
30,MELAS,C1,#44B044,Dark Green,#77E377
31,MELAS,DB5,#77E377,Dark Green,#77E377
32,MELAS,Mito_A61,#AAFFAA,Dark Green,#77E377
33,Cerebral_Ataxia,CACNA1A_clone 1,#AB82FF,Purple,#8968CD
34,Cerebral_Ataxia,CACNA1A_PAT2,#8968CD,Purple,#8968CD
35,Cerebral_Ataxia,CACNA1A_clone 2,#9F79EE,Purple,#8968CD
36,Cerebral_Ataxia,CACNA1A_PAT1,#5D478B,Purple,#8968CD
37,CHD2_encephalopathy,CHD2_het,#A46C15,Brown,#D79F48
38,CHD2_encephalopathy,CHD2_PAT003,#D79F48,Brown,#D79F48
39,CHD2_encephalopathy,CHD2_PAT002,#FFD27B,Brown,#D79F48
40,Kleefstra,Clone12_KS,#8B3EA5,Purple,#BE71D8
41,Kleefstra,EHMT1_CR,#B23AEE,Purple,#BE71D8
42,Kleefstra,Silvia_KS,#CF82E9,Purple,#BE71D8
43,Kleefstra,Willem_KS,#F1A4FF,Purple,#BE71D8
44,Dravet,FAM001_DRAV,#A0AB99,Light Green,#D3DECC
45,FS,FAM001_FS,#000000,Lightbluegreen,#33FFFF
46,Dravet,PAT001_DRAV,#D3DECC,Light Green,#D3DECC
47,Dravet,SCN1A_clone3,#EDF8E6,Light Green,#D3DECC
48,Dravet,SCN1A_clone7,#FFFFFF,Light Green,#D3DECC
49,GEFS+,FAM001_GEFS,#666666,Dark Blue,#624AD0
50,GEFS+,PAT001_GEFS,#707070,Dark Blue,#624AD0
51,KdVS,KdVS_67,#8E8CA9,Dark Blue,#C1BFDC
52,KdVS,KdVS_70,#A8A6C3,Dark Blue,#C1BFDC
53,KdVS,KdVS_71,#C1BFDC,Dark Blue,#C1BFDC
54,KdVS,KdVS_76,#DBD9F6,Dark Blue,#C1BFDC
55,KdVS,KdVS_CRISPR,#F4F2FF,Dark Blue,#C1BFDC
56,SETD1A,SETD1A_clone 1,#8B7E66,Yellow,#CCD793
57,SETD1A,SETD1A_clone 2,#CDBA96,Yellow,#CCD793
58,HvdA,ADNP_CR,#FF3030,Red,#DE9ACF
59,GdV,YY1_CR,#00FF00,Green,#00FF00
60,CHD8_ASD,CHD8_C3,#FFFF00,Bright Yellow,#FFFF00
61,CHD8_ASD,CHD8_S62X,#CDCD00,BrightYellow,#FFFF00
