Well_Label,Well_Label_num
A1,ID_11
A2,ID_12
A3,ID_13
A4,ID_14
A5,ID_15
A6,ID_16
A7,ID_17
A8,ID_18
A9,ID_19
A10,ID_110
A11,ID_111
A12,ID_112
B1,ID_21
B2,ID_22
B3,ID_23
B4,ID_24
B5,ID_25
B6,ID_26
B7,ID_27
B8,ID_28
B9,ID_29
B10,ID_210
B11,ID_211
B12,ID_212
C1,ID_31
C2,ID_32
C3,ID_33
C4,ID_34
C5,ID_35
C6,ID_36
C7,ID_37
C8,ID_38
C9,ID_39
C10,ID_310
C11,ID_311
C12,ID_312
D1,ID_41
D2,ID_42
D3,ID_43
D4,ID_44
D5,ID_45
D6,ID_46
D7,ID_47
D8,ID_48
D9,ID_49
D10,ID_410
D11,ID_411
D12,ID_412
E1,ID_51
E2,ID_52
E3,ID_53
E4,ID_54
E5,ID_55
E6,ID_56
E7,ID_57
E8,ID_58
E9,ID_59
E10,ID_510
E11,ID_511
E12,ID_512
F1,ID_61
F2,ID_62
F3,ID_63
F4,ID_64
F5,ID_65
F6,ID_66
F7,ID_67
F8,ID_68
F9,ID_69
F10,ID_610
F11,ID_611
F12,ID_612
G1,ID_71
G2,ID_72
G3,ID_73
G4,ID_74
G5,ID_75
G6,ID_76
G7,ID_77
G8,ID_78
G9,ID_79
G10,ID_710
G11,ID_711
G12,ID_712
H1,ID_81
H2,ID_82
H3,ID_83
H4,ID_84
H5,ID_85
H6,ID_86
H7,ID_87
H8,ID_88
H9,ID_89
H10,ID_810
H11,ID_811
H12,ID_812
